
  Data: Theoretical equilibrium composition (weight percentage of H2SO4)
  of sulfuric acid solutions, given as a function of temperature and
  H2O vapour pressure.

  Reference: H. M. Steele and P. Hamill, Effects of temperature and humidity
  on the growth and optical properties of sulphuric acid-water droplets
  in the stratosphere, J. Aerosol Sci., vol. 12, pgs. 517-528, 1981.
  
  Format: Solution composition (weight percentage of H2SO4) versus 
  temperature (K) and H2O vapour pressure (1.0e-4 mb). Temperatures
  range between 190 and 260 K, and H2O vapour pressures range between
  2.00e-4 and 3.0e-3 mb. 15 lines of data (2x,f5.1,1x,10(1x,f5.2))

          H2O vapour pressure (1.0e-4 mb)
          2.00  3.00  5.00  6.00  8.00 10.00 12.00 15.00 20.00 30.00
   (K)
  190.0  43.45 37.02 25.85 15.38 
  195.0  53.96 49.46 42.26 39.35 34.02 29.02 23.13 
  200.0  60.62 57.51 52.78 50.73 46.93 43.69 40.86 36.89 30.82 
  205.0  65.57 63.12 59.55 58.11 55.61 53.44 51.44 48.63 44.49 37.71 
  210.0  69.42 67.42 64.55 63.41 61.47 59.83 58.38 56.46 53.69 48.89
  215.0  72.56 70.85 68.45 67.52 65.94 64.62 63.47 61.96 59.83 56.40
  220.0  75.17 73.70 71.63 70.83 69.49 68.39 67.43 66.19 64.47 61.75
  225.0  77.38 76.09 74.29 73.60 72.44 71.48 70.66 69.60 68.15 65.89
  230.0  79.30 78.15 76.56 75.95 74.93 74.10 73.38 72.45 71.19 69.25
  235.0  80.99 79.96 78.53 77.98 77.08 76.33 75.70 74.89 73.77 72.07
  240.0  82.50 81.56 80.27 79.77 78.96 78.29 77.72 76.99 76.00 74.49
  245.0  83.92 83.02 81.83 81.38 80.63 80.02 79.51 78.85 77.95 76.59
  250.0  85.32 84.43 83.27 82.84 82.15 81.58 81.11 80.50 79.69 78.45
  255.0  86.79 85.85 84.67 84.25 83.57 83.03 82.58 82.02 81.26 80.12
  260.0  88.32 87.33 86.10 85.66 84.97 84.44 83.99 83.44 82.72 81.64

